city,publish_date,deal_status,district,location,land_use,area_sqm,start_price_wan,land_no,package_code,source_org,source_url
深圳,2020-10-23,已成交,宝安区,西乡铁岗地区,居住、商业、教育设施用地、绿地、道路用地,85320.53,413600,A122-0371,历史数据-A122-0371,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A122-0371
深圳,2020-10-23,已成交,坪山区,坪山区石井街道绿荫南路与东纵路交汇处西北角,居住用地,37254.47,193100,G12314-8030,历史数据-G12314-8030,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G12314-8030
深圳,2020-10-23,已成交,光明区,光明中心区光侨路与华夏路交汇处西北侧,二类居住用地,21866.53,168500,A515-0099,历史数据-A515-0099,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A515-0099
深圳,2020-10-23,已成交,光明区,光明中心区双明大道北侧,二类居住用地,18143.86,95400,A650-0377,历史数据-A650-0377,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A650-0377
深圳,2020-10-23,已成交,光明区,光明中心区光明大街南侧,二类居住用地、商业用地,11763.47,87700,A641-0028,历史数据-A641-0028,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A641-0028
深圳,2020-10-23,已成交,光明区,光明区圳美二路与碧丽路交叉口西南侧,二类居住用地,10538.37,49600,A525-0100,历史数据-A525-0100,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A525-0100
深圳,2020-10-10,已成交,前海深港现代服务业合作区,前湾片区十开发单元02街坊,居住用地,26851.97,562200,T102-0345,历史数据-T102-0345,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T102-0345
深圳,2020-09-14,已成交,龙华区,龙华区民治街道,居住用地,23558.38,212800,A808-0020,历史数据-A808-0020,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A808-0020
深圳,2020-09-14,已成交,坪山区,坪山区马峦街道,居住用地,13285.65,69000,G11341-0137,历史数据-G11341-0137,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G11341-0137
深圳,2020-09-14,已成交,龙岗区,龙岗区宝龙街道,居住用地,12852.83,32000,G02302-0022,历史数据-G02302-0022,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G02302-0022
深圳,2020-09-14,已成交,南山区,南山区南头街道,居住用地,3285.91,27000,T503-0063,历史数据-T503-0063,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T503-0063
